provider_name;provider_product_id;product;additional_cover;combine_of_additionals;own_risk;breed;breed_connection;weight;gender;0;1;2;3;4;5;6;7;8;9;10;11;12;13
HEMA;HEMA;Standaard zorgpakket;Chemo/radiotherapie;;;;nee;11 - 25 kg;reu;6.28;6.28;6.28;7.85;7.85;;;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Chemo/radiotherapie;;;;nee;11 - 25 kg;teef;6.28;6.28;6.28;7.85;7.85;;;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Chemo/radiotherapie;;;;nee;26 - 40 kg;reu;6.85;6.85;6.85;8.57;8.57;;;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Chemo/radiotherapie;;;;nee;26 - 40 kg;teef;6.85;6.85;6.85;8.57;8.57;;;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Chemo/radiotherapie;;;;nee;41 - 55 kg;reu;7.43;7.43;7.43;9.28;9.28;;;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Chemo/radiotherapie;;;;nee;41 - 55 kg;teef;7.43;7.43;7.43;9.28;9.28;;;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Crematie;;;;nee;0 - 10 kg;reu;1.27;1.27;1.27;1.59;1.59;1.78;1.78;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Crematie;;;;nee;0 - 10 kg;teef;1.27;1.27;1.27;1.59;1.59;1.78;1.78;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Crematie;;;;nee;11 - 25 kg;reu;1.52;1.52;1.52;1.91;1.91;2.13;2.13;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Crematie;;;;nee;11 - 25 kg;teef;1.52;1.52;1.52;1.91;1.91;2.13;2.13;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Crematie;;;;nee;26 - 40 kg;reu;1.84;1.84;1.84;2.30;2.30;2.58;2.58;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Crematie;;;;nee;26 - 40 kg;teef;1.84;1.84;1.84;2.30;2.30;2.58;2.58;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Crematie;;;;nee;41 - 55 kg;reu;2.60;2.60;2.60;3.25;3.25;3.64;3.64;;;;;;;
HEMA;HEMA;Standaard zorgpakket;Crematie;;;;nee;41 - 55 kg;teef;2.60;2.60;2.60;3.25;3.25;3.64;3.64;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;< 5;reu;16.56;18.48;18.48;19.92;19.92;19.92;19.92;21.34;22.20;23.05;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;< 5;teef;16.56;18.48;18.48;19.92;19.92;19.92;19.92;21.34;22.20;23.05;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;6 - 20;reu;20.47;21.34;21.34;23.89;23.89;23.89;23.89;25.81;26.84;27.88;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;6 - 20;teef;20.47;21.34;21.34;23.89;23.89;23.89;23.89;25.81;26.84;27.88;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;21 - 35;reu;23.66;24.84;24.84;28.68;28.68;28.68;28.68;31.47;32.73;33.99;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;21 - 35;teef;23.66;24.84;24.84;28.68;28.68;28.68;28.68;31.47;32.73;33.99;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;36 - 49;reu;29.26;30.96;30.96;36.51;36.51;36.51;36.51;43.48;45.22;46.95;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;36 - 49;teef;29.26;30.96;30.96;36.51;36.51;36.51;36.51;43.48;45.22;46.95;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;> 50;reu;37.09;38.95;38.95;44.55;44.55;44.55;44.55;51.95;54.03;56.10;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;;;;;nee;> 50;teef;37.09;38.95;38.95;44.55;44.55;44.55;44.55;51.95;54.03;56.10;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;< 5;reu;8.41;11.54;11.54;15.02;15.02;15.02;15.02;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;< 5;teef;8.41;11.54;11.54;15.02;15.02;15.02;15.02;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;6 - 20;reu;9.33;12.29;12.29;15.75;15.75;15.75;15.75;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;6 - 20;teef;9.33;12.29;12.29;15.75;15.75;15.75;15.75;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;21 - 35;reu;10.15;13.20;13.20;18.16;18.16;18.16;18.16;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;21 - 35;teef;10.15;13.20;13.20;18.16;18.16;18.16;18.16;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;36 - 49;reu;12.33;15.08;15.08;18.78;18.78;18.78;18.78;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;36 - 49;teef;12.33;15.08;15.08;18.78;18.78;18.78;18.78;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;> 50;reu;16.76;19.15;19.15;23.04;23.04;23.04;23.04;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Chemo-radiotherapie;;;;nee;> 50;teef;16.76;19.15;19.15;23.04;23.04;23.04;23.04;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;< 5;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;< 5;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;6 - 20;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;6 - 20;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;21 - 35;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;21 - 35;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
PetPlan;"PetPlan incl € 250,- e.r.";BASIS;Doorlopende reisverzekering;;;;nee;36 - 49;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;3.98;4.14;4.30;;;;
